사용월,호선명,지하철역,승차총승객수,하차총승객수
202001,1호선,가능,154864,147639
202001,1호선,가산디지털단지,427860,495041
202001,1호선,간석,149848,141816
202001,1호선,개봉,536769,537243
202001,1호선,관악,183861,168676
202001,1호선,광명,74887,57522
202001,1호선,광운대,200941,188492
202001,1호선,구로,441605,448732
202001,1호선,구일,159451,159724
202001,1호선,군포,173294,169118
202001,1호선,금정,624026,640714
202001,1호선,금천구청,284830,274854
202001,1호선,남영,235607,247650
202001,1호선,노량진,255648,242153
202001,1호선,녹양,113761,106497
202001,1호선,녹천,112544,93749
202001,1호선,당정,153840,144564
202001,1호선,대방,331921,336653
202001,1호선,덕계,55512,48420
202001,1호선,덕정,135179,130175
202001,1호선,도봉,143026,134267
202001,1호선,도봉산,172712,104764
202001,1호선,도원,81519,83681
202001,1호선,도화,95125,85312
202001,1호선,독산,393039,407097
202001,1호선,동대문,299826,319224
202001,1호선,동두천,48629,57461
202001,1호선,동두천중앙,82100,79212
202001,1호선,동묘앞,201491,210572
202001,1호선,동암,398497,398528
202001,1호선,동인천,370305,352889
202001,1호선,두정,110161,112141
202001,1호선,망월사,177289,178333
202001,1호선,명학,213336,205005
202001,1호선,방학,230723,222511
202001,1호선,배방,21917,21282
202001,1호선,백운,188186,182724
202001,1호선,병점,341585,340551
202001,1호선,보산,38656,35816
202001,1호선,봉명,28476,27926
202001,1호선,부개,212974,198610
202001,1호선,부천,871881,883491
202001,1호선,부평,818195,889324
202001,1호선,서동탄,40319,32823
202001,1호선,서빙고,43422,40799
202001,1호선,서울,1466328,1255627
202001,1호선,서정리,120316,121956
202001,1호선,석계,218007,245277
202001,1호선,석수,252010,216933
202001,1호선,성균관대,338701,334819
202001,1호선,성환,76729,77057
202001,1호선,세류,81894,75996
202001,1호선,세마,62520,55100
202001,1호선,소사,239335,227769
202001,1호선,소요산,69233,57178
202001,1호선,송내,708819,696462
202001,1호선,송탄,97898,93934
202001,1호선,수원,923644,987058
202001,1호선,시청,600933,608809
202001,1호선,신길,223878,187235
202001,1호선,신도림,91059,92688
202001,1호선,신설동,359967,350250
202001,1호선,신이문,212889,192237
202001,1호선,신창,26410,25917
202001,1호선,쌍용,43390,40107
202001,1호선,아산,62129,55180
202001,1호선,안양,552386,557731
202001,1호선,양주,193899,177195
202001,1호선,역곡,681675,670484
202001,1호선,영등포,1083182,1125296
202001,1호선,오류동,296180,275275
202001,1호선,오산,226802,225336
202001,1호선,오산대,66064,57346
202001,1호선,옥수,1131,700
202001,1호선,온수,159614,157126
202001,1호선,온양온천,101349,102916
202001,1호선,왕십리,358039,401428
202001,1호선,외대앞,207467,201884
202001,1호선,용산,915355,941430
202001,1호선,월계,139979,129706
202001,1호선,응봉,42603,36233
202001,1호선,의왕,213551,207016
202001,1호선,의정부,465764,485491
202001,1호선,이촌,94981,74153
202001,1호선,인천,81535,62332
202001,1호선,제기동,474037,488424
202001,1호선,제물포,245560,230894
202001,1호선,종각,1045122,1008975
202001,1호선,종로3가,778142,739750
202001,1호선,종로5가,618605,616001
202001,1호선,주안,501976,453121
202001,1호선,중동,226418,212309
202001,1호선,지제,57875,51640
202001,1호선,지행,158685,156145
202001,1호선,직산,18703,18077
202001,1호선,진위,35654,30306
202001,1호선,창동,13,0
202001,1호선,천안,130616,136094
202001,1호선,청량리,931143,964057
202001,1호선,평택,284353,279090
202001,1호선,한남,106284,101672
202001,1호선,화서,181392,172894
202001,1호선,회룡,301280,290668
202002,1호선,가능,125544,120655
202002,1호선,가산디지털단지,382866,430896
202002,1호선,간석,117860,111258
202002,1호선,개봉,421915,426836
202002,1호선,관악,142703,130852
202002,1호선,광명,57570,47366
202002,1호선,광운대,163107,151040
202002,1호선,구로,356717,363203
202002,1호선,구일,122569,124258
202002,1호선,군포,145646,145294
202002,1호선,금정,507519,518631
202002,1호선,금천구청,228890,223023
202002,1호선,남영,197158,207175
202002,1호선,노량진,185529,182674
202002,1호선,녹양,93403,88152
202002,1호선,녹천,91815,76418
202002,1호선,당정,122874,116787
202002,1호선,대방,268798,273943
202002,1호선,덕계,44976,39245
202002,1호선,덕정,107765,104604
202002,1호선,도봉,116236,109230
202002,1호선,도봉산,136420,79054
202002,1호선,도원,53975,54997
202002,1호선,도화,74048,66084
202002,1호선,독산,336744,352625
202002,1호선,동대문,223137,225554
202002,1호선,동두천,37139,43204
202002,1호선,동두천중앙,61940,59411
202002,1호선,동묘앞,140296,147438
202002,1호선,동암,312424,312081
202002,1호선,동인천,280527,265355
