사용월,호선명,지하철역,승차총승객수,하차총승객수
202201,1호선,가능,38578,36876
202201,1호선,가산디지털단지,45781,61888
202201,1호선,간석,31958,31088
202201,1호선,개봉,118024,117490
202201,1호선,관악,44068,41381
202201,1호선,광명,21294,17636
202201,1호선,광운대,41262,41415
202201,1호선,구로,93691,95384
202201,1호선,구일,32530,31967
202201,1호선,군포,31036,29101
202201,1호선,금정,137618,140805
202201,1호선,금천구청,62018,61693
202201,1호선,남영,43054,44444
202201,1호선,노량진,62022,58629
202201,1호선,녹양,26052,25520
202201,1호선,녹천,25415,21749
202201,1호선,당정,29592,28824
202201,1호선,대방,57554,59025
202201,1호선,덕계,17049,16161
202201,1호선,덕정,32197,31515
202201,1호선,도봉,34570,32863
202201,1호선,도봉산,70073,48077
202201,1호선,도원,15192,15737
202201,1호선,도화,23890,22682
202201,1호선,독산,65964,65623
202201,1호선,동대문,85174,83054
202201,1호선,동두천,11959,14449
202201,1호선,동두천중앙,20047,19663
202201,1호선,동묘앞,100008,102089
202201,1호선,동암,93659,95741
202201,1호선,동인천,90587,88455
202201,1호선,두정,38466,39766
202201,1호선,망월사,43176,44729
202201,1호선,명학,34648,33904
202201,1호선,방학,57319,55652
202201,1호선,배방,7123,7472
202201,1호선,백운,38483,38630
202201,1호선,병점,90389,93524
202201,1호선,보산,9663,9839
202201,1호선,봉명,5246,4939
202201,1호선,부개,47783,45117
202201,1호선,부천,222280,224363
202201,1호선,부평,227595,239918
202201,1호선,서동탄,7167,7488
202201,1호선,서빙고,11797,12141
202201,1호선,서울,291866,245182
202201,1호선,서정리,45420,48943
202201,1호선,석계,50335,53611
202201,1호선,석수,49975,48106
202201,1호선,성균관대,75794,77550
202201,1호선,성환,20886,21701
202201,1호선,세류,18513,19178
202201,1호선,세마,16173,15220
202201,1호선,소사,51968,50361
202201,1호선,소요산,25905,22705
202201,1호선,송내,130031,128856
202201,1호선,송탄,32867,33703
202201,1호선,수원,300781,308554
202201,1호선,시청,73207,71994
202201,1호선,신길,44864,38600
202201,1호선,신도림,22656,21136
202201,1호선,신설동,74746,71440
202201,1호선,신이문,46768,43655
202201,1호선,신창,7133,7629
202201,1호선,쌍용,11204,10682
202201,1호선,아산,23418,19543
202201,1호선,안양,132549,131479
202201,1호선,양주,46849,45494
202201,1호선,역곡,149071,147758
202201,1호선,영등포,312659,313104
202201,1호선,오류동,69810,64589
202201,1호선,오산,72848,73629
202201,1호선,오산대,20204,18808
202201,1호선,옥수,372,225
202201,1호선,온수,35495,33448
202201,1호선,온양온천,31115,32132
202201,1호선,왕십리,94581,105168
202201,1호선,외대앞,47136,45649
202201,1호선,용산,274974,271820
202201,1호선,월계,36676,34330
202201,1호선,응봉,10055,9118
202201,1호선,의왕,42986,43048
202201,1호선,의정부,136770,141050
202201,1호선,이촌,20857,16431
202201,1호선,인천,31412,25823
202201,1호선,제기동,120402,125433
202201,1호선,제물포,55074,53516
202201,1호선,종각,129877,117803
202201,1호선,종로3가,151933,137781
202201,1호선,종로5가,115979,114980
202201,1호선,주안,117010,104017
202201,1호선,중동,49892,47362
202201,1호선,지행,40814,40853
202201,1호선,직산,4915,5020
202201,1호선,진위,7743,7127
202201,1호선,창동,4,0
202201,1호선,천안,48294,50125
202201,1호선,청량리,266563,267422
202201,1호선,탕정,2984,2920
202201,1호선,평택,99757,100213
202201,1호선,평택지제,21940,21217
202201,1호선,한남,19944,19342
202201,1호선,화서,39208,39318
202201,1호선,회룡,72857,72749
202202,1호선,가능,30383,29213
202202,1호선,가산디지털단지,36596,49128
202202,1호선,간석,25036,24348
202202,1호선,개봉,94582,93714
202202,1호선,관악,35291,33103
202202,1호선,광명,16768,14078
202202,1호선,광운대,32393,32531
202202,1호선,구로,75554,76898
202202,1호선,구일,25468,24975
202202,1호선,군포,25034,23643
202202,1호선,금정,108279,110540
202202,1호선,금천구청,49106,48649
202202,1호선,남영,34559,36659
202202,1호선,노량진,45219,43344
202202,1호선,녹양,20537,19721
202202,1호선,녹천,20114,17162
202202,1호선,당정,23418,22746
202202,1호선,대방,46280,47971
202202,1호선,덕계,13743,12968
202202,1호선,덕정,24640,24271
202202,1호선,도봉,27359,26190
202202,1호선,도봉산,56062,39552
202202,1호선,도원,14690,14989
202202,1호선,도화,18490,17504
202202,1호선,독산,51665,51800
202202,1호선,동대문,64636,63082
202202,1호선,동두천,9376,11031
202202,1호선,동두천중앙,15196,14901
202202,1호선,동묘앞,77116,78750
202202,1호선,동암,72643,73973
202202,1호선,동인천,69875,68448
202202,1호선,두정,29519,30636
202202,1호선,망월사,34529,35934
202202,1호선,명학,29110,28340
202202,1호선,방학,46482,45048
202202,1호선,배방,5752,5861
202202,1호선,백운,30191,30182
202202,1호선,병점,69259,72088
202202,1호선,보산,8794,8532
202202,1호선,봉명,4487,4237
202202,1호선,부개,37300,35464
202202,1호선,부천,171194,172506
202202,1호선,부평,172103,180437
202202,1호선,서동탄,5556,5678
202202,1호선,서빙고,9419,9604
202202,1호선,서울,224211,183597
202202,1호선,서정리,36757,39400
202202,1호선,석계,39206,41643
202202,1호선,석수,39639,38391
202202,1호선,성균관대,60566,62757
202202,1호선,성환,16071,16543
202202,1호선,세류,14247,14647
202202,1호선,세마,12633,11776
