사용월,호선명,지하철역,승차총승객수,하차총승객수,lat,lng
202101,1호선,가능,107119,105533,37.7483685951812,127.044220735748
202101,1호선,가산디지털단지,326367,379970,37.4815957375443,126.882559483336
202101,1호선,간석,99325,95507,37.4646879052409,126.693451172704
202101,1호선,개봉,375003,395170,37.4945222528654,126.859102583368
202101,1호선,관악,126040,118817,37.4188017578979,126.909121118476
202101,1호선,광명,53292,46844,37.4163635638303,126.884877197434
202101,1호선,광운대,136165,130829,37.6230335564713,127.06176348127
202101,1호선,구로,334271,339299,37.5024345090279,126.881491595821
202101,1호선,구일,105623,110857,37.4963911827294,126.869920428658
202101,1호선,군포,144171,144729,37.354076121748,126.948484962089
202101,1호선,금정,464489,480412,37.3722878708479,126.943387264162
202101,1호선,금천구청,206542,208170,37.455609978438,126.894514076077
202101,1호선,남영,161848,169539,37.5405646005342,126.971332437837
202101,1호선,노량진,134269,142715,37.5135735646312,126.940826454376
202101,1호선,녹양,76935,73790,37.7593972381027,127.042273911226
202101,1호선,녹천,82057,70231,37.6456959058103,127.050919992127
202101,1호선,당정,107801,103364,37.3444543328447,126.948347418727
202101,1호선,대방,224913,234111,37.5128688879851,126.925248506022
202101,1호선,덕계,45279,41200,37.8187729615258,127.056653419502
202101,1호선,덕정,87718,86839,37.844283985167,127.061969695022
202101,1호선,도봉,104432,101700,37.6803629061562,127.045764016316
202101,1호선,도봉산,126800,74099,37.6891205614059,127.046528790935
202101,1호선,도원,46108,47599,37.468791983109,126.642404388038
202101,1호선,도화,70899,65804,37.4661106428252,126.668375888234
202101,1호선,독산,313840,333548,37.4659873169402,126.889514168718
202101,1호선,동대문,185270,174894,37.5717775660734,127.011167102297
202101,1호선,동두천,31029,35550,37.9278370541411,127.054940223638
202101,1호선,동두천중앙,50115,48924,37.9018057802045,127.056238895955
202101,1호선,동묘앞,127823,133762,37.5733722075697,127.01675118037
202101,1호선,동암,265685,269579,37.4710056673671,126.702935214739
202101,1호선,동인천,232364,220721,37.4759574845683,126.631750522383
202101,1호선,두정,81137,81134,36.8329346310528,127.149020699344
202101,1호선,망월사,117374,122716,37.725963479768,127.046509519875
202101,1호선,명학,166448,166019,37.3852171904558,126.935265701361
202101,1호선,방학,161196,159635,37.6663490420969,127.044424667701
202101,1호선,배방,15821,14871,36.7775631745193,127.052904723378
202101,1호선,백운,122300,121833,37.4832252226726,126.70727338322
202101,1호선,병점,223854,221694,37.2068017946815,127.033243427141
202101,1호선,보산,23379,21852,37.9143185033452,127.057237110508
202101,1호선,봉명,20831,20041,36.8012573235829,127.135835679685
202101,1호선,부개,146486,140148,37.4883181353962,126.740251327956
202101,1호선,부천,565559,569615,37.4840369248427,126.782649695027
202101,1호선,부평,505461,533648,37.4904472744166,126.723486369222
202101,1호선,서동탄,26737,22534,37.1959264123992,127.052133990784
202101,1호선,서빙고,32412,30097,37.5199555398566,126.990048630943
202101,1호선,서울,774530,673026,37.549118478341,126.970484281315
202101,1호선,서울,774530,673026,37.549118478341,126.970484281315
202101,1호선,서정리,97547,91996,37.0570033704623,127.053006355073
202101,1호선,석계,136711,156550,37.6150480846952,127.066118430844
202101,1호선,석수,179143,159541,37.4343424740399,126.902529209911
202101,1호선,성균관대,240854,241934,37.3001863040678,126.972261050259
202101,1호선,성환,50876,50613,36.9167500567322,127.126732155397
202101,1호선,세류,50894,48020,37.2442506519983,127.014111849323
