관광지명,도로명주소,lat,lng,분류,Unnamed: 0
송파결정유연구소,경기도 이천시 신둔면 둔터로58,37.2879320699,127.4006311868,쇼핑,
풍동 애니골,"경기도 고양시 일산동구 애니골길 15-46 (풍동,오푸스하임)",37.6719264532,126.789514607,쇼핑,
롯데몰(수원),경기도 수원시 권선구 세화로 134 (서둔동),37.2641013965,126.9973705173,쇼핑,
롯데프리미엄아울렛(파주점),경기도 파주시 회동길 390,37.7177916524,126.693779466,쇼핑,
파주프리미엄아울렛,경기도 파주시 탄현면 필승로 200,37.7693560552,126.6965126169,쇼핑,
곤지암 도자공원,경기도 광주시 곤지암읍 경충대로 727,37.350279973,127.3347904394,쇼핑,
라페스타,경기도 고양시 일산동구 무궁화로 32-34,37.6613265499,126.7688109747,쇼핑,
토월도요,경기도 이천시 경충대로2993번길 28,37.2947467051,127.4121079852,쇼핑,
도자세상,경기도 여주시 신륵사길 7,37.3001409008,127.6545498438,쇼핑,
원미동사람들거리,경기도 부천시 부천로 136번길 27,37.4967307599,126.7875124505,쇼핑,
정금주한복연구소,경기도 과천시 별양상가2로 20 새서울프라자 2층,37.4268251693,126.992554906,쇼핑,
양수리전통시장,경기도 양평군 양서면 양수리 1060,37.5444904103,127.3199083666,쇼핑,
사강시장,경기도 화성시 송산면 사강로 189,37.2133762273,126.73689981,쇼핑,
규수당,경기도 수원시 팔달구 수원천로 254 팔달주차타워,37.2761388914,127.0200305443,쇼핑,
독산성 음식문화거리,경기도 오산시 독산성로 419(세마동주민센터),37.188316862,127.0408219585,쇼핑,
산본시장,경기도 군포시 산본천로183번길 6(산본동) 일원,37.3701550674,126.9385231898,쇼핑,
신흥시장,경기도 부천시 평천로721번길 14-2 삼정빌딩,37.5155494513,126.7710277905,쇼핑,
작동 문화의 거리,경기도 부천시 오정구 까치로 123 (작동 63번지) 문화타운 1동,37.5173212737,126.8047771224,쇼핑,
구리전통시장,경기도 구리시 검배로6번길 31,37.5995526804,127.1399115226,쇼핑,
동춘175,경기도 용인시 기흥구 동백죽전대로175번길 6,37.2576414893,127.1604458626,쇼핑,
문산자유시장,경기도 파주시 문산읍 문향로 57,37.8567241041,126.7839477675,쇼핑,
부천상동시장,경기도 부천시 장말로200번길 48,37.4908957491,126.7634622698,쇼핑,
오색시장,경기도 오산시 오산로272번길 2(오산동 862),37.1510943316,127.0687271686,쇼핑,
부천자유시장,경기도 부천시 소사구 자유로 33,37.4841110249,126.7799409281,쇼핑,
앙코르면세점,경기도 수원시 팔달구 권광로 132,37.2592288794,127.031313641,쇼핑,
기흥맛깔촌,경기도 용인시 기흥구 신갈로 16-1,37.2680630139,127.1056300345,쇼핑,
수원프리미엄아울렛,경기도 용인시 기흥구 중부대로 64 용인프리미엄,37.2666002164,127.0762010419,쇼핑,
아브뉴프랑 판교점,경기도 성남시 분당구 동판교로177번길 25,37.397320957,127.1135515109,쇼핑,
